iter	RMSE
0	4569.754115
1	4536.198633
2	4503.356197
3	4470.25589
4	4437.457579
5	4405.335218
6	4373.701812
7	4341.643673
8	4310.328387
9	4279.992201
10	4249.788834
11	4219.819303
12	4189.620684
13	4160.178043
14	4130.905016
15	4102.432718
16	4074.021379
17	4045.466342
18	4018.338713
19	3991.290119
20	3963.952679
21	3937.236127
22	3910.929992
23	3884.280937
24	3858.680126
25	3832.85326
26	3806.877587
27	3782.127695
28	3757.635957
29	3733.312417
30	3708.705269
31	3684.606494
32	3661.000115
33	3637.8177
34	3614.544263
35	3591.172725
36	3568.427347
37	3546.155609
38	3524.110285
39	3502.319311
40	3480.597361
41	3459.255169
42	3438.070823
43	3417.190671
44	3396.950584
45	3376.755907
46	3357.067809
47	3337.295183
48	3317.885392
49	3298.630604
50	3279.597423
51	3261.233587
52	3243.142608
53	3225.080821
54	3207.216667
55	3189.666284
56	3171.65269
57	3154.373309
58	3137.030568
59	3120.129471
60	3102.760518
61	3086.179907
62	3070.125388
63	3053.933658
64	3037.998338
65	3022.288086
66	3006.728415
67	2990.962112
68	2975.753331
69	2960.543436
70	2945.665725
71	2931.021052
72	2916.386083
73	2901.64926
74	2887.584694
75	2873.668157
76	2859.758413
77	2845.768653
78	2832.471708
79	2819.582802
80	2806.468153
81	2793.591328
82	2780.518511
83	2767.810251
84	2755.417854
85	2743.09083
86	2731.068143
87	2719.027692
88	2707.253125
89	2695.8132
90	2684.301129
91	2672.875681
92	2661.158091
93	2649.635756
94	2638.520654
95	2627.549924
96	2617.151588
97	2606.552769
98	2596.050748
99	2585.595977
100	2575.063738
101	2564.641539
102	2554.680518
103	2544.680581
104	2535.156865
105	2525.369429
106	2515.811809
107	2506.406661
108	2497.126712
109	2488.163657
110	2479.458207
111	2470.818328
112	2462.102724
113	2453.623105
114	2445.309142
115	2436.854111
116	2428.663824
117	2420.086373
118	2411.916948
119	2403.831243
120	2395.692534
121	2387.986523
122	2380.138762
123	2372.657744
124	2365.022957
125	2357.386596
126	2349.819934
127	2342.83603
128	2335.710171
129	2328.377569
130	2321.3383
131	2314.457675
132	2307.460123
133	2300.901111
134	2294.272391
135	2287.631001
136	2280.987736
137	2274.667863
138	2268.291609
139	2262.279014
140	2255.528585
141	2249.360756
142	2243.4885
143	2237.642219
144	2231.686213
145	2225.786223
146	2220.082299
147	2214.530548
148	2208.569308
149	2202.684676
150	2197.340426
151	2191.903646
152	2186.845893
153	2181.386448
154	2176.557571
155	2171.39529
156	2166.335075
157	2161.58642
158	2156.953658
159	2151.469606
160	2146.408394
161	2141.805127
162	2137.393436
163	2132.767866
164	2128.222131
165	2123.609134
166	2119.405915
167	2114.775057
168	2110.376629
169	2106.306296
170	2102.137095
171	2098.115241
172	2094.298894
173	2090.488033
174	2086.050777
175	2081.983521
176	2077.63458
177	2073.551624
178	2069.732461
179	2065.902032
180	2061.901811
181	2058.292776
182	2054.727358
183	2050.781456
184	2047.183444
185	2043.539945
186	2040.113183
187	2036.577449
188	2033.234178
189	2029.636652
190	2026.039024
191	2022.636625
192	2019.605106
193	2016.511487
194	2012.968243
195	2010.06791
196	2007.029296
197	2003.947989
198	2001.024021
199	1997.811312
