iter	Passed	Remaining
0	43	8748
1	88	8802
2	131	8629
3	172	8432
4	212	8287
5	251	8127
6	289	7978
7	327	7865
8	365	7766
9	403	7670
10	443	7616
11	482	7554
12	519	7476
13	558	7417
14	596	7355
15	635	7303
16	674	7263
17	711	7192
18	749	7140
19	788	7094
20	826	7045
21	867	7020
22	907	6986
23	946	6943
24	985	6901
25	1023	6850
26	1062	6808
27	1104	6784
28	1142	6737
29	1192	6756
30	1253	6831
31	1301	6835
32	1349	6827
33	1388	6777
34	1425	6722
35	1465	6675
36	1503	6624
37	1541	6572
38	1581	6529
39	1621	6487
40	1658	6433
41	1698	6389
42	1737	6343
43	1775	6294
44	1813	6245
45	1851	6198
46	1890	6154
47	1928	6108
48	1967	6062
49	2003	6011
50	2043	5968
51	2081	5923
52	2118	5875
53	2158	5837
54	2197	5793
55	2235	5749
56	2273	5704
57	2312	5661
58	2350	5616
59	2389	5574
60	2428	5532
61	2468	5495
62	2507	5452
63	2545	5409
64	2584	5368
65	2624	5328
66	2665	5291
67	2706	5252
68	2743	5209
69	2780	5163
70	2819	5123
71	2858	5080
72	2895	5038
73	2935	4998
74	2974	4956
75	3013	4916
76	3053	4877
77	3093	4838
78	3131	4796
79	3170	4756
80	3208	4714
81	3247	4673
82	3286	4632
83	3323	4590
84	3363	4550
85	3403	4511
86	3440	4468
87	3478	4426
88	3515	4385
89	3553	4343
90	3593	4304
91	3630	4262
92	3667	4220
93	3706	4179
94	3745	4140
95	3784	4099
96	3824	4060
97	3863	4020
98	3901	3980
99	3942	3942
100	3981	3902
101	4020	3862
102	4058	3821
103	4096	3781
104	4135	3741
105	4174	3701
106	4212	3661
107	4250	3621
108	4289	3581
109	4329	3542
110	4374	3507
111	4414	3468
112	4453	3428
113	4491	3388
114	4530	3348
115	4569	3308
116	4609	3270
117	4650	3231
118	4688	3191
119	4726	3151
120	4763	3110
121	4801	3069
122	4841	3030
123	4881	2991
124	4919	2951
125	4958	2912
126	4996	2872
127	5035	2832
128	5074	2792
129	5112	2753
130	5151	2713
131	5192	2674
132	5229	2634
133	5268	2595
134	5310	2556
135	5350	2517
136	5388	2477
137	5429	2439
138	5466	2399
139	5505	2359
140	5544	2320
141	5582	2280
142	5621	2240
143	5658	2200
144	5696	2160
145	5734	2121
146	5775	2082
147	5812	2042
148	5852	2003
149	5892	1964
150	5931	1924
151	5969	1885
152	6009	1846
153	6048	1806
154	6085	1766
155	6126	1727
156	6163	1688
157	6203	1648
158	6242	1609
159	6281	1570
160	6321	1531
161	6359	1491
162	6397	1452
163	6435	1412
164	6471	1372
165	6510	1333
166	6547	1293
167	6586	1254
168	6624	1215
169	6663	1175
170	6701	1136
171	6740	1097
172	6779	1058
173	6820	1019
174	6859	979
175	6896	940
176	6935	901
177	6972	861
178	7011	822
179	7052	783
180	7090	744
181	7130	705
182	7168	665
183	7204	626
184	7244	587
185	7283	548
186	7324	509
187	7362	469
188	7399	430
189	7437	391
190	7477	352
191	7515	313
192	7555	274
193	7592	234
194	7630	195
195	7667	156
196	7705	117
197	7745	78
198	7784	39
199	7824	0
